Level 1,Measure Names,Adjust Ad?,Ads Manager Link,Campaign Mission,Campaign Preview Link,Measure Values
120238222103720218,Forecasted Cost Per Baptism,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,17843.966938024
120238222103720218,Forecasted Baptisms,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,0.484813721
120238222103720218,Forecasted % Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,0.006215561
120238222103720218,% Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,0
120238222103720218,% Found Attending Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,0.076923077
120238222103720218,People Baptized and Confirmed,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,0
120238222103720218,People Who Attended Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,6
120238222103720218,New People Being Taught,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,19
120238222103720218,Cost Per Facebook Lead,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,28.271241830
120238222103720218,Ad Leads,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,306
120238222103720218,People Found,-,https://business.facebook.com/adsmanager/manage/ads?act=2690826994537559&selected_campaign_ids=120237860491540218&selected_adset_ids=120238222103700218&selected_ad_ids=120238222103720218&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California San Jose Mission,,78
6924729715458,Forecasted Cost Per Baptism,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,16742.489622034
6924729715458,Forecasted Baptisms,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0.584859255
6924729715458,Forecasted % Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0.006800689
6924729715458,% Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0
6924729715458,% Found Attending Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0.034883721
6924729715458,People Baptized and Confirmed,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0
6924729715458,People Who Attended Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,3
6924729715458,New People Being Taught,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,14
6924729715458,Cost Per Facebook Lead,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,34.357894737
6924729715458,Ad Leads,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,285
6924729715458,People Found,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6924723798258&selected_adset_ids=6924723803058&selected_ad_ids=6924729715458&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,86
120246518042070030,Forecasted Cost Per Baptism,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,15807.719268836
120246518042070030,Forecasted Baptisms,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,1.307146189
120246518042070030,Forecasted % Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,0.006471021
120246518042070030,% Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,0
120246518042070030,% Found Attending Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,0.014851485
120246518042070030,People Baptized and Confirmed,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,0
120246518042070030,People Who Attended Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,3
120246518042070030,New People Being Taught,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,22
120246518042070030,Cost Per Facebook Lead,-,https://business.facebook.com/adsmanager/manage/ads?act=3685410151495854&selected_campaign_ids=120246518042050030&selected_adset_ids=120246518042320030&selected_ad_ids=120246518042070030&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,North Carolina Raleigh Mission,,90.627192982
