Level 1,Measure Names,Adjust Ad?,Ads Manager Link,Campaign Mission,Campaign Preview Link,Measure Values
120248033476230188,Forecasted Cost Per Baptism,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,10573.110660507
120248033476230188,Forecasted Baptisms,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0.663286352
120248033476230188,Forecasted % Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0.006632864
120248033476230188,% Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0
120248033476230188,% Found Attending Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0.05
120248033476230188,People Baptized and Confirmed,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,0
120248033476230188,People Who Attended Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,5
120248033476230188,New People Being Taught,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,20
120248033476230188,Cost Per Facebook Lead,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,46.753333333
120248033476230188,Ad Leads,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,150
120248033476230188,People Found,-,https://business.facebook.com/adsmanager/manage/ads?act=265070661450846&selected_campaign_ids=120248033408860188&selected_adset_ids=120248033409910188&selected_ad_ids=120248033476230188&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Tennessee Nashville Mission,,100
6941250674258,Forecasted Cost Per Baptism,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,7837.671785520
6941250674258,Forecasted Baptisms,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,1.129417031
